price,price_per_sqft,area,bedrooms,floor_number,is_floor_availabe,area_type,is_area_type_availabe,property_age,is_property_age_availabe,bathroom,property_type,locality
2.5,23474,1065,2,higher_floor,1,Super Built-up Area,1,new_property,1,2,flat,Powai
4.1,52559,780,3,higher_floor,1,Carpet Area,1,not_specify,0,3,flat,Powai
1.9,30351,626,2,middle_floor,1,Carpet Area,1,new_property,1,2,flat,Swastik Park
3.4,26153,1300,3,middle_floor,1,Super Built-up Area,1,new_property,1,3,flat,Nahar Amrit Shakti
2.35,24226,970,2,higher_floor,1,Super Built-up Area,1,not_specify,0,2,flat,Powai
2.2,16058,1370,3,lower_floor,1,Carpet Area,1,not_specify,0,3,flat,Mulund
2.69,32764,821,3,Not Specified,0,Not Specified,0,not_specify,0,3,flat,Mulund
5.65,43228,1307,3,higher_floor,1,Carpet Area,1,new_property,1,3,flat,Ghatkopar 
5.75,43993,1307,3,middle_floor,1,Carpet Area,1,moderately_new,1,3,flat,Ghatkopar 
2.2,33333,660,2,higher_floor,1,Super Built-up Area,1,new_property,1,2,flat,Ghatkopar 
2.35,30678,766,3,Not Specified,0,Not Specified,0,not_specify,0,2,flat,Mulund
3.25,30952,1050,3,Not Specified,0,Not Specified,0,not_specify,0,3,flat,Mulund
2.9,37613,771,2,middle_floor,1,Carpet Area,1,new_property,1,2,flat,Deonar
2.2,36974,595,2,middle_floor,1,Carpet Area,1,new_property,1,2,flat,Deonar
3.34,38657,864,3,higher_floor,1,Carpet Area,1,new_property,1,3,flat,Deonar
2.98,37626,792,2,middle_floor,1,Carpet Area,1,new_property,1,2,flat,Deonar
3.35,38773,864,3,middle_floor,1,Carpet Area,1,new_property,1,3,flat,Deonar
8.5,41182,2064,4,middle_floor,1,Super Built-up Area,1,new_property,1,4,flat,Ghatkopar 
4.95,42525,1164,3,higher_floor,1,Super Built-up Area,1,new_property,1,3,flat,Ghatkopar 
3.86,34189,1129,3,Not Specified,0,Super Built-up Area,1,not_specify,0,3,flat,Kanjurmarg 
3.5,35000,1500,3,lower_floor,1,Super Built-up Area,1,new_property,1,3,flat,Chembur 
3.4,34000,1500,3,higher_floor,1,Super Built-up Area,1,new_property,1,3,flat,Chembur 
1.84,35000,787,1,middle_floor,1,Super Built-up Area,1,new_property,1,2,flat,Chembur 
3.05,31500,1450,2,higher_floor,1,Super Built-up Area,1,new_property,1,3,flat,Chembur 
3,31000,1450,2,higher_floor,1,Super Built-up Area,1,new_property,1,2,flat,Deonar
1.75,25735,680,2,middle_floor,1,Super Built-up Area,1,new_property,1,2,flat,Ghatkopar 
2.9,26484,1095,2,higher_floor,1,Super Built-up Area,1,new_property,1,2,flat,Powai
4.28,31149,2061,4,higher_floor,1,Super Built-up Area,1,not_specify,0,3,flat,Chembur
1.85,30730,602,2,Not Specified,0,Not Specified,0,not_specify,0,2,flat,Nahur 
6,45592,1316,3,higher_floor,1,Super Built-up Area,1,moderately_new,1,3,flat,Ghatkopar 
1.85,18800,984,2,higher_floor,1,Super Built-up Area,1,new_property,1,2,flat,Kanjurmarg 
1.9,23899,795,2,lower_floor,1,Super Built-up Area,1,not_specify,0,2,flat,Kanjurmarg 
2.35,26111,900,2,middle_floor,1,Super Built-up Area,1,not_specify,0,2,flat,Chandivali
3,41095,730,2,Not Specified,0,Not Specified,0,new_property,1,2,flat,Chembur 
1.8,31858,565,2,Not Specified,0,Not Specified,0,new_property,1,2,flat,Chembur 
2.15,28590,752,2,Not Specified,0,Not Specified,0,not_specify,0,2,flat,Chembur 
3.25,36312,895,3,Not Specified,0,Not Specified,0,not_specify,0,2,flat,Chembur
2.75,51210,537,2,Not Specified,0,Not Specified,0,not_specify,0,2,flat,Chembur
2.75,34898,788,2,Not Specified,0,Not Specified,0,not_specify,0,2,flat,Chembur
3.2,40000,800,2,Not Specified,0,Not Specified,0,not_specify,0,2,flat,Powai
14,31111,4500,4,higher_floor,1,Super Built-up Area,1,not_specify,0,5,flat,Powai
6.9,30000,2300,3,higher_floor,1,Super Built-up Area,1,new_property,1,3,flat,Krishna Nagar
2.3,25555,900,2,lower_floor,1,Super Built-up Area,1,new_property,1,2,flat,Kanjurmarg 
2.05,31635,648,2,Not Specified,0,Not Specified,0,new_property,1,2,flat,Mulund
3.5,33143,1056,3,Not Specified,0,Not Specified,0,not_specify,0,3,flat,Mulund
3.45,33956,1016,3,Not Specified,0,Not Specified,0,not_specify,0,2,flat,Chandivali
2.4,24742,970,2,higher_floor,1,Super Built-up Area,1,new_property,1,2,flat,Powai
2.55,28716,888,2,higher_floor,1,Carpet Area,1,new_property,1,2,flat,Chandivali
2.45,22897,1070,2,Not Specified,0,Super Built-up Area,1,not_specify,0,2,flat,Powai
2.85,29111,979,3,higher_floor,1,Carpet Area,1,new_property,1,3,flat,Ghatkopar 
7,50287,1392,3,higher_floor,1,Super Built-up Area,1,new_property,1,3,flat,Powai
2,20000,1000,2,higher_floor,1,Super Built-up Area,1,new_property,1,2,flat,Kanjurmarg 
9.25,35238,2625,4,higher_floor,1,Super Built-up Area,1,new_property,1,4,flat,Powai
2.1,35000,600,2,middle_floor,1,Carpet Area,1,new_property,1,2,flat,Chembur
1.21,21415,565,2,Not Specified,0,Not Specified,0,not_specify,0,2,flat,Kannamwar Nagar 1
0.97,21959,444,1,Not Specified,0,Not Specified,0,not_specify,0,2,flat,Kannamwar Nagar 2
2.9,29000,1000,2,higher_floor,1,Super Built-up Area,1,new_property,1,2,flat,Powai
2.5,26455,945,3,middle_floor,1,Not Specified,0,not_specify,0,3,flat,Chembur
1.32,36065,366,1,lower_floor,1,Carpet Area,1,new_property,1,1,flat,Chandivali
2.55,28977,880,3,Not Specified,0,Not Specified,0,new_property,1,3,flat,Mulund
2.75,23913,1150,2,middle_floor,1,Super Built-up Area,1,moderately_new,1,2,flat,Powai
